category,amount,description,date
Ingredients,442395.87,Ingredients - Jun 2025,2025-06-02
Freight,123963.92,Freight - Jun 2025,2025-06-08
Marketing,121237.65,Marketing - Jun 2025,2025-06-11
Salaries,413489.16,Salaries - Jun 2025,2025-06-03
Rent,110000.0,Rent - Jun 2025,2025-06-04
Utilities,33935.35,Utilities - Jun 2025,2025-06-06
Packaging,90574.51,Packaging - Jun 2025,2025-06-11
Ingredients,453866.83,Ingredients - Jul 2025,2025-07-06
Freight,141851.63,Freight - Jul 2025,2025-07-03
Marketing,65140.04,Marketing - Jul 2025,2025-07-11
Salaries,419560.45,Salaries - Jul 2025,2025-07-02
Rent,111650.0,Rent - Jul 2025,2025-07-07
Utilities,37432.67,Utilities - Jul 2025,2025-07-04
Packaging,149761.3,Packaging - Jul 2025,2025-07-09
Ingredients,560127.36,Ingredients - Aug 2025,2025-08-04
Freight,188476.93,Freight - Aug 2025,2025-08-04
Marketing,100956.92,Marketing - Aug 2025,2025-08-06
Salaries,432648.64,Salaries - Aug 2025,2025-08-11
Rent,113300.0,Rent - Aug 2025,2025-08-05
Utilities,34547.26,Utilities - Aug 2025,2025-08-10
Packaging,104849.25,Packaging - Aug 2025,2025-08-08
Ingredients,578282.55,Ingredients - Sep 2025,2025-09-11
Freight,117107.72,Freight - Sep 2025,2025-09-02
Marketing,67968.79,Marketing - Sep 2025,2025-09-02
Salaries,428767.63,Salaries - Sep 2025,2025-09-06
Rent,114950.0,Rent - Sep 2025,2025-09-08
Utilities,35791.53,Utilities - Sep 2025,2025-09-11
Packaging,124835.67,Packaging - Sep 2025,2025-09-10
Ingredients,442744.2,Ingredients - Oct 2025,2025-10-03
Freight,123358.58,Freight - Oct 2025,2025-10-09
Marketing,99364.48,Marketing - Oct 2025,2025-10-11
Salaries,437580.57,Salaries - Oct 2025,2025-10-06
Rent,116600.0,Rent - Oct 2025,2025-10-05
Utilities,40060.25,Utilities - Oct 2025,2025-10-03
Packaging,112520.73,Packaging - Oct 2025,2025-10-09
Ingredients,464206.82,Ingredients - Nov 2025,2025-11-02
Freight,129927.55,Freight - Nov 2025,2025-11-07
Marketing,98849.72,Marketing - Nov 2025,2025-11-04
Salaries,429965.52,Salaries - Nov 2025,2025-11-04
Rent,118250.0,Rent - Nov 2025,2025-11-07
Utilities,39914.65,Utilities - Nov 2025,2025-11-10
Packaging,134446.4,Packaging - Nov 2025,2025-11-04
Ingredients,542009.17,Ingredients - Dec 2025,2025-12-02
Freight,161027.18,Freight - Dec 2025,2025-12-07
