transaction_type,amount,description,date
REVENUE,865583.69,Jun retail & distributor payout,2025-06-18
REVENUE,768728.76,Jun retail & distributor payout,2025-06-22
REVENUE,707437.08,Jun retail & distributor payout,2025-06-20
REVENUE,918444.9,Jul retail & distributor payout,2025-07-09
REVENUE,776361.54,Jul retail & distributor payout,2025-07-13
REVENUE,789004.07,Jul retail & distributor payout,2025-07-21
REVENUE,1390709.05,Aug retail & distributor payout,2025-08-16
REVENUE,1540505.76,Aug retail & distributor payout,2025-08-24
REVENUE,1428901.3,Sep retail & distributor payout,2025-09-20
REVENUE,1197412.38,Sep retail & distributor payout,2025-09-05
REVENUE,1954840.96,Oct retail & distributor payout,2025-10-23
REVENUE,1507588.48,Oct retail & distributor payout,2025-10-18
REVENUE,1170406.54,Nov retail & distributor payout,2025-11-10
REVENUE,1198503.54,Nov retail & distributor payout,2025-11-24
REVENUE,1118075.85,Nov retail & distributor payout,2025-11-04
REVENUE,1437361.69,Dec retail & distributor payout,2025-12-12
REVENUE,1415280.95,Dec retail & distributor payout,2025-12-21
REVENUE,1574392.16,Jan retail & distributor payout,2026-01-14
REVENUE,1596702.38,Jan retail & distributor payout,2026-01-20
REVENUE,777155.86,Feb retail & distributor payout,2026-02-22
REVENUE,977081.18,Feb retail & distributor payout,2026-02-16
REVENUE,798342.07,Feb retail & distributor payout,2026-02-13
REVENUE,640633.71,Mar retail & distributor payout,2026-03-04
REVENUE,813039.34,Mar retail & distributor payout,2026-03-04
REVENUE,673033.67,Mar retail & distributor payout,2026-03-05
REVENUE,720824.06,Apr retail & distributor payout,2026-04-26
REVENUE,725757.41,Apr retail & distributor payout,2026-04-06
REVENUE,763680.55,Apr retail & distributor payout,2026-04-10
REVENUE,1005595.74,May retail & distributor payout,2026-05-13
REVENUE,1004229.49,May retail & distributor payout,2026-05-17
REVENUE,1139183.79,May retail & distributor payout,2026-05-07
REVENUE,1340417.89,Jun retail & distributor payout,2026-06-07
REVENUE,1237948.06,Jun retail & distributor payout,2026-06-18
REVENUE,986407.35,Jul retail & distributor payout,2026-07-21
REVENUE,989915.08,Jul retail & distributor payout,2026-07-20
REVENUE,990668.21,Jul retail & distributor payout,2026-07-08
REVENUE,1157161.73,Aug retail & distributor payout,2026-08-07
REVENUE,1074340.54,Aug retail & distributor payout,2026-08-10
REVENUE,943090.05,Aug retail & distributor payout,2026-08-22
